Sr. No.,Value date,Transaction Date,Cheque Number,Transacting Remarks,Withdrawal Amount,Deposit Amount,Balance
45,2020-01-30,2020-01-30 23:38,,Groceries - Supermarket,143.53,0.00,84663.81
46,2020-01-30,2020-01-30 03:03,,Investment Returns - Crypto,0.00,685.46,85349.27
47,2020-01-31,2020-01-31 05:49,,Dining - Fine Dining,376.98,0.00,84972.29
48,2020-01-31,2020-01-31 11:48,,Healthcare - Emergency,3654.09,0.00,81318.20
49,2020-02-01,2020-02-01 11:44,,Fuel,94.34,0.00,81223.86
50,2020-02-01,2020-02-01 05:52,,Dining - Fine Dining,598.15,0.00,80625.71
51,2020-02-02,2020-02-02 20:42,,Groceries - Online Delivery,326.95,0.00,80298.76
52,2020-02-02,2020-02-02 07:32,,Coffee Shop,24.58,0.00,80274.18
53,2020-02-03,2020-02-03 20:28,,Entertainment - Movies,43.02,0.00,80231.16
54,2020-02-04,2020-02-04 12:49,,Fuel,64.54,0.00,80166.62
55,2020-02-05,2020-02-05 21:21,,Salary - Bonus,0.00,23435.33,103601.95
56,2020-02-06,2020-02-06 00:01,,Salary - Regular,0.00,5362.60,108964.55
57,2020-02-06,2020-02-06 16:56,,Utilities - Electricity,403.68,0.00,108560.87
58,2020-02-07,2020-02-07 02:32,,Utilities - Electricity,485.94,0.00,108074.93
59,2020-02-08,2020-02-08 17:15,,Groceries - Supermarket,370.30,0.00,107704.63
60,2020-02-08,2020-02-08 14:51,,Freelance Income,0.00,1808.96,109513.59
61,2020-02-08,2020-02-08 00:33,,Groceries - Supermarket,212.45,0.00,109301.14
62,2020-02-08,2020-02-08 21:51,,Dividends,0.00,515.41,109816.55
63,2020-02-09,2020-02-09 22:42,,Groceries - Online Delivery,315.71,0.00,109500.84
64,2020-02-09,2020-02-09 23:37,,Investment - Stocks,23525.49,0.00,85975.35
65,2020-02-10,2020-02-10 01:46,,Dining - Casual Restaurant,196.87,0.00,85778.48
66,2020-02-10,2020-02-10 03:26,,Utilities - Electricity,196.88,0.00,85581.60
67,2020-02-11,2020-02-11 12:51,,Groceries - Online Delivery,138.73,0.00,85442.87
68,2020-02-11,2020-02-11 04:56,,Coffee Shop,18.40,0.00,85424.47
69,2020-02-11,2020-02-11 06:03,,Groceries - Online Delivery,182.38,0.00,85242.09
70,2020-02-12,2020-02-12 03:53,,Groceries - Supermarket,360.92,0.00,84881.17
71,2020-02-12,2020-02-12 06:39,,Fuel,81.83,0.00,84799.34
72,2020-02-13,2020-02-13 11:25,,Investment Returns - Crypto,0.00,3043.89,87843.23
73,2020-02-13,2020-02-13 01:38,,Utilities - Water,126.43,0.00,87716.80
74,2020-02-14,2020-02-14 02:44,,Investment Returns - Stocks,0.00,1703.11,89419.91
75,2020-02-14,2020-02-14 04:46,,Coffee Shop,6.95,0.00,89412.96
76,2020-02-15,2020-02-15 14:17,,Investment - Stocks,9914.57,0.00,79498.39
77,2020-02-16,2020-02-16 13:14,,Salary - Bonus,0.00,8196.23,87694.62
78,2020-02-17,2020-02-17 14:20,,Salary - Regular,0.00,7344.67,95039.29
79,2020-02-17,2020-02-17 23:25,,Investment Returns - Stocks,0.00,2202.11,97241.40
80,2020-02-17,2020-02-17 12:14,,Loan EMI,2510.37,0.00,94731.03
81,2020-02-18,2020-02-18 07:27,,Groceries - Supermarket,115.43,0.00,94615.60
82,2020-02-18,2020-02-18 08:36,,Utilities - Water,118.56,0.00,94497.04
83,2020-02-19,2020-02-19 13:09,,Groceries - Supermarket,481.66,0.00,94015.38
84,2020-02-20,2020-02-20 07:03,,Groceries - Online Delivery,124.98,0.00,93890.40
85,2020-02-21,2020-02-21 15:35,,Salary - Bonus,0.00,10578.79,104469.19
86,2020-02-21,2020-02-21 22:18,,Salary - Regular,0.00,6918.57,111387.76
87,2020-02-21,2020-02-21 23:27,,Coffee Shop,21.03,0.00,111366.73
88,2020-02-21,2020-02-21 00:14,,Salary - Regular,0.00,6831.37,118198.10
89,2020-02-22,2020-02-22 22:30,,Rental Income,0.00,5358.53,123556.63
90,2020-02-22,2020-02-22 06:33,,Salary - Regular,0.00,8625.12,132181.75
91,2020-02-22,2020-02-22 16:51,,Coffee Shop,46.86,0.00,132134.89
92,2020-02-23,2020-02-23 03:08,,Groceries - Online Delivery,238.04,0.00,131896.85
93,2020-02-23,2020-02-23 18:16,,Dining - Casual Restaurant,74.27,0.00,131822.58
94,2020-02-24,2020-02-24 04:07,,Investment Returns - Stocks,0.00,6943.34,138765.92
95,2020-02-25,2020-02-25 07:33,,Cashback,0.00,44.27,138810.19
96,2020-02-25,2020-02-25 01:12,,Salary - Regular,0.00,3652.10,142462.29
97,2020-02-25,2020-02-25 19:45,,Groceries - Online Delivery,205.04,0.00,142257.25
98,2020-02-26,2020-02-26 01:40,,Investment Returns - Crypto,0.00,1011.68,143268.93
99,2020-02-27,2020-02-27 09:43,,Utilities - Electricity,234.24,0.00,143034.69
100,2020-02-28,2020-02-28 10:41,,Entertainment - Concerts,469.44,0.00,142565.25
101,2020-02-28,2020-02-28 23:02,,Salary - Regular,0.00,3932.75,146498.00
102,2020-02-28,2020-02-28 20:28,,Public Transport,10.98,0.00,146487.02
103,2020-02-29,2020-02-29 08:34,,Rental Income,0.00,4519.19,151006.21
104,2020-02-29,2020-02-29 12:25,,Investment - Stocks,11322.56,0.00,139683.65
105,2020-03-01,2020-03-01 17:49,,Freelance Income,0.00,1370.19,141053.84
106,2020-03-01,2020-03-01 12:13,,Dividends,0.00,279.01,141332.85
107,2020-03-01,2020-03-01 06:29,,Fuel,48.18,0.00,141284.67
108,2020-03-02,2020-03-02 13:13,,Loan EMI,2635.76,0.00,138648.91
109,2020-03-02,2020-03-02 23:23,,Groceries - Online Delivery,174.71,0.00,138474.20
110,2020-03-03,2020-03-03 05:11,,Salary - Bonus,0.00,7258.29,145732.49
111,2020-03-03,2020-03-03 14:45,,Rental Income,0.00,3013.64,148746.13
112,2020-03-04,2020-03-04 12:33,,Rental Income,0.00,4312.70,153058.83
113,2020-03-04,2020-03-04 04:56,,Healthcare - Regular,80.41,0.00,152978.42
114,2020-03-05,2020-03-05 14:22,,Groceries - Online Delivery,250.42,0.00,152728.00
115,2020-03-06,2020-03-06 20:14,,Dining - Fine Dining,313.92,0.00,152414.08
116,2020-03-06,2020-03-06 03:08,,Groceries - Online Delivery,131.44,0.00,152282.64
117,2020-03-07,2020-03-07 18:25,,Loan EMI,1274.69,0.00,151007.95
118,2020-03-07,2020-03-07 03:59,,Utilities - Water,86.71,0.00,150921.24
119,2020-03-09,2020-03-09 18:58,,Groceries - Supermarket,353.34,0.00,150567.90
120,2020-03-10,2020-03-10 04:44,,Rental Income,0.00,3681.37,154249.27
121,2020-03-12,2020-03-12 21:10,,Healthcare - Regular,200.05,0.00,154049.22
122,2020-03-13,2020-03-13 13:01,,Groceries - Online Delivery,163.05,0.00,153886.17
123,2020-03-13,2020-03-13 18:28,,Fuel,51.10,0.00,153835.07
124,2020-03-14,2020-03-14 17:01,,Fuel,66.47,0.00,153768.60
125,2020-03-14,2020-03-14 09:42,,Groceries - Online Delivery,370.93,0.00,153397.67
126,2020-03-16,2020-03-16 15:54,,Groceries - Online Delivery,205.39,0.00,153192.28
127,2020-03-16,2020-03-16 07:19,,Groceries - Online Delivery,150.99,0.00,153041.29
128,2020-03-16,2020-03-16 13:58,,Public Transport,4.71,0.00,153036.58
129,2020-03-16,2020-03-16 21:15,,Salary - Bonus,0.00,15007.75,168044.33
130,2020-03-17,2020-03-17 11:15,,Salary - Regular,0.00,3746.25,171790.58
131,2020-03-17,2020-03-17 09:38,,Coffee Shop,6.66,0.00,171783.92
132,2020-03-18,2020-03-18 13:29,,Salary - Bonus,0.00,15763.49,187547.41
133,2020-03-18,2020-03-18 17:31,,Dining - Fine Dining,580.62,0.00,186966.79
134,2020-03-19,2020-03-19 06:34,,Investment Returns - Stocks,0.00,4406.05,191372.84
135,2020-03-19,2020-03-19 21:14,,Coffee Shop,8.97,0.00,191363.87
136,2020-03-20,2020-03-20 20:57,,Healthcare - Regular,321.40,0.00,191042.47
137,2020-03-20,2020-03-20 01:51,,Salary - Regular,0.00,4757.78,195800.25
138,2020-03-22,2020-03-22 18:28,,Salary - Regular,0.00,6622.91,202423.16
139,2020-03-22,2020-03-22 00:51,,Entertainment - Concerts,681.70,0.00,201741.46
140,2020-03-22,2020-03-22 17:33,,Coffee Shop,10.24,0.00,201731.22
141,2020-03-22,2020-03-22 03:58,,Coffee Shop,15.13,0.00,201716.09
142,2020-03-23,2020-03-23 13:51,,Fuel,42.42,0.00,201673.67
143,2020-03-24,2020-03-24 00:48,,Utilities - Electricity,350.80,0.00,201322.87
144,2020-03-24,2020-03-24 01:26,,Dining - Casual Restaurant,112.68,0.00,201210.19
145,2020-03-25,2020-03-25 16:06,,Salary - Regular,0.00,5064.61,206274.80
146,2020-03-25,2020-03-25 00:08,,Freelance Income,0.00,889.10,207163.90
147,2020-03-26,2020-03-26 22:26,,Fuel,71.56,0.00,207092.34
148,2020-03-26,2020-03-26 19:14,,Groceries - Online Delivery,254.09,0.00,206838.25
149,2020-03-27,2020-03-27 07:05,,Public Transport,5.32,0.00,206832.93
150,2020-03-27,2020-03-27 14:41,,Coffee Shop,8.88,0.00,206824.05
151,2020-03-27,2020-03-27 13:43,,Groceries - Supermarket,108.75,0.00,206715.30
152,2020-03-28,2020-03-28 14:41,,Healthcare - Regular,141.14,0.00,206574.16
153,2020-03-29,2020-03-29 07:24,,Salary - Bonus,0.00,11718.97,218293.13
154,2020-03-29,2020-03-29 00:49,,Salary - Bonus,0.00,13510.92,231804.05
155,2020-03-30,2020-03-30 01:36,,Fuel,94.16,0.00,231709.89
156,2020-03-30,2020-03-30 02:00,,Groceries - Supermarket,170.08,0.00,231539.81
157,2020-03-31,2020-03-31 05:44,,Entertainment - Movies,44.54,0.00,231495.27
158,2020-04-01,2020-04-01 09:56,,Dining - Casual Restaurant,88.04,0.00,231407.23
159,2020-04-02,2020-04-02 06:25,,Utilities - Electricity,154.36,0.00,231252.87
160,2020-04-02,2020-04-02 13:03,,Freelance Income,0.00,2324.67,233577.54
161,2020-04-02,2020-04-02 08:49,,Public Transport,20.60,0.00,233556.94
162,2020-04-02,2020-04-02 06:03,,Dining - Casual Restaurant,172.93,0.00,233384.01
163,2020-04-03,2020-04-03 09:53,,Entertainment - Concerts,770.94,0.00,232613.07
164,2020-04-03,2020-04-03 07:13,,Groceries - Supermarket,88.47,0.00,232524.60
165,2020-04-04,2020-04-04 19:21,,Utilities - Water,297.90,0.00,232226.70
166,2020-04-04,2020-04-04 18:35,,Utilities - Electricity,317.09,0.00,231909.61
167,2020-04-04,2020-04-04 13:50,,Fuel,45.85,0.00,231863.76
168,2020-04-05,2020-04-05 19:24,,Dining - Casual Restaurant,207.12,0.00,231656.64
169,2020-04-05,2020-04-05 23:34,,Dining - Casual Restaurant,108.48,0.00,231548.16
170,2020-04-06,2020-04-06 01:31,,Salary - Regular,0.00,3110.11,234658.27
171,2020-04-07,2020-04-07 11:58,,Groceries - Online Delivery,265.76,0.00,234392.51
172,2020-04-08,2020-04-08 02:28,,Public Transport,14.63,0.00,234377.88
173,2020-04-08,2020-04-08 11:45,,Public Transport,11.11,0.00,234366.77
174,2020-04-08,2020-04-08 01:48,,Rental Income,0.00,3422.14,237788.91
175,2020-04-08,2020-04-08 04:38,,Investment - Stocks,10284.95,0.00,227503.96
176,2020-04-09,2020-04-09 02:57,,Dividends,0.00,330.29,227834.25
177,2020-04-09,2020-04-09 23:02,,Investment Returns - Crypto,0.00,955.59,228789.84
178,2020-04-09,2020-04-09 23:02,,Groceries - Online Delivery,130.56,0.00,228659.28
179,2020-04-09,2020-04-09 00:11,,Utilities - Electricity,90.85,0.00,228568.43
180,2020-04-10,2020-04-10 20:22,,Dining - Fine Dining,196.72,0.00,228371.71
181,2020-04-10,2020-04-10 15:25,,Investment - Stocks,10348.54,0.00,218023.17
182,2020-04-12,2020-04-12 04:03,,Coffee Shop,24.42,0.00,217998.75
183,2020-04-12,2020-04-12 18:09,,Salary - Regular,0.00,7054.09,225052.84
184,2020-04-13,2020-04-13 19:45,,Fuel,92.75,0.00,224960.09
185,2020-04-13,2020-04-13 12:11,,Groceries - Online Delivery,170.48,0.00,224789.61
186,2020-04-14,2020-04-14 10:01,,Dining - Fine Dining,395.04,0.00,224394.57
187,2020-04-14,2020-04-14 16:48,,Dining - Casual Restaurant,66.30,0.00,224328.27
188,2020-04-15,2020-04-15 12:30,,Rental Income,0.00,3611.26,227939.53
189,2020-04-16,2020-04-16 17:41,,Dining - Casual Restaurant,76.70,0.00,227862.83
190,2020-04-16,2020-04-16 16:54,,Entertainment - Movies,38.61,0.00,227824.22
191,2020-04-17,2020-04-17 02:20,,Loan EMI,3923.14,0.00,223901.08
192,2020-04-17,2020-04-17 21:37,,Public Transport,9.05,0.00,223892.03
193,2020-04-18,2020-04-18 16:29,,Entertainment - Movies,65.76,0.00,223826.27
194,2020-04-18,2020-04-18 03:40,,Public Transport,7.20,0.00,223819.07
195,2020-04-18,2020-04-18 18:59,,Utilities - Water,118.65,0.00,223700.42
196,2020-04-19,2020-04-19 15:55,,Investment Returns - Stocks,0.00,4286.36,227986.78
197,2020-04-19,2020-04-19 13:18,,Salary - Regular,0.00,5953.42,233940.20
198,2020-04-19,2020-04-19 05:47,,Freelance Income,0.00,2165.43,236105.63
199,2020-04-20,2020-04-20 01:52,,Investment Returns - Crypto,0.00,4215.88,240321.51
200,2020-04-21,2020-04-21 11:41,,Groceries - Supermarket,94.30,0.00,240227.21
201,2020-04-21,2020-04-21 20:35,,Salary - Regular,0.00,5660.39,245887.60
202,2020-04-21,2020-04-21 19:32,,Investment Returns - Stocks,0.00,3001.56,248889.16
203,2020-04-21,2020-04-21 20:49,,Loan EMI,1941.30,0.00,246947.86
204,2020-04-22,2020-04-22 07:25,,Entertainment - Movies,62.56,0.00,246885.30
205,2020-04-22,2020-04-22 20:02,,Investment - Crypto,2463.67,0.00,244421.63
206,2020-04-23,2020-04-23 01:53,,Entertainment - Movies,54.18,0.00,244367.45
207,2020-04-24,2020-04-24 06:51,,Investment - Crypto,5706.01,0.00,238661.44
208,2020-04-25,2020-04-25 07:44,,Groceries - Supermarket,127.53,0.00,238533.91
209,2020-04-26,2020-04-26 02:22,,Coffee Shop,14.80,0.00,238519.11
210,2020-04-27,2020-04-27 16:44,,Healthcare - Emergency,2152.71,0.00,236366.40
211,2020-04-27,2020-04-27 06:08,,Public Transport,17.82,0.00,236348.58
212,2020-04-28,2020-04-28 03:00,,Healthcare - Emergency,3572.69,0.00,232775.89
213,2020-04-29,2020-04-29 09:13,,Salary - Regular,0.00,5924.41,238700.30
214,2020-04-30,2020-04-30 11:27,,Dining - Casual Restaurant,104.50,0.00,238595.80
215,2020-04-30,2020-04-30 04:02,,Groceries - Online Delivery,169.45,0.00,238426.35
216,2020-05-01,2020-05-01 05:07,,Salary - Regular,0.00,5156.43,243582.78
217,2020-05-01,2020-05-01 13:22,,Freelance Income,0.00,1592.65,245175.43
218,2020-05-02,2020-05-02 03:33,,Cashback,0.00,33.48,245208.91
219,2020-05-02,2020-05-02 06:34,,Rental Income,0.00,3188.10,248397.01
220,2020-05-02,2020-05-02 10:53,,Healthcare - Regular,288.40,0.00,248108.61
221,2020-05-03,2020-05-03 21:07,,Dining - Casual Restaurant,235.02,0.00,247873.59
222,2020-05-03,2020-05-03 12:38,,Investment - Stocks,5238.77,0.00,242634.82
223,2020-05-04,2020-05-04 04:14,,Investment Returns - Stocks,0.00,5847.77,248482.59
224,2020-05-04,2020-05-04 09:47,,Salary - Bonus,0.00,15109.42,263592.01
225,2020-05-04,2020-05-04 07:18,,Dining - Fine Dining,427.72,0.00,263164.29
226,2020-05-06,2020-05-06 03:25,,Groceries - Online Delivery,113.22,0.00,263051.07
227,2020-05-06,2020-05-06 05:23,,Investment - Stocks,5866.77,0.00,257184.30
228,2020-05-06,2020-05-06 19:37,,Healthcare - Regular,63.78,0.00,257120.52
229,2020-05-06,2020-05-06 04:32,,Coffee Shop,14.88,0.00,257105.64
230,2020-05-07,2020-05-07 04:30,,Loan EMI,2023.64,0.00,255082.00
231,2020-05-07,2020-05-07 04:49,,Dividends,0.00,1006.04,256088.04
232,2020-05-08,2020-05-08 07:36,,Groceries - Supermarket,267.70,0.00,255820.34
233,2020-05-09,2020-05-09 11:03,,Dining - Fine Dining,552.28,0.00,255268.06
234,2020-05-09,2020-05-09 18:44,,Investment - Stocks,5488.70,0.00,249779.36
235,2020-05-10,2020-05-10 03:14,,Investment Returns - Stocks,0.00,3496.65,253276.01
236,2020-05-11,2020-05-11 04:38,,Public Transport,5.24,0.00,253270.77
237,2020-05-11,2020-05-11 20:04,,Groceries - Supermarket,155.20,0.00,253115.57
238,2020-05-12,2020-05-12 19:06,,Rental Income,0.00,1795.01,254910.58
239,2020-05-13,2020-05-13 06:34,,Salary - Regular,0.00,3137.23,258047.81
240,2020-05-13,2020-05-13 22:32,,Freelance Income,0.00,5064.88,263112.69
241,2020-05-14,2020-05-14 03:15,,Salary - Regular,0.00,7520.92,270633.61
242,2020-05-15,2020-05-15 17:07,,Entertainment - Movies,75.21,0.00,270558.40
243,2020-05-15,2020-05-15 14:40,,Utilities - Electricity,261.74,0.00,270296.66
244,2020-05-16,2020-05-16 13:58,,Groceries - Online Delivery,187.14,0.00,270109.52
245,2020-05-16,2020-05-16 23:07,,Groceries - Supermarket,345.26,0.00,269764.26
246,2020-05-16,2020-05-16 01:43,,Salary - Regular,0.00,6158.23,275922.49
247,2020-05-16,2020-05-16 02:20,,Investment Returns - Crypto,0.00,3640.88,279563.37
248,2020-05-17,2020-05-17 09:42,,Rental Income,0.00,3996.60,283559.97
249,2020-05-17,2020-05-17 15:29,,Public Transport,15.86,0.00,283544.11
250,2020-05-18,2020-05-18 03:23,,Rental Income,0.00,3391.90,286936.01
251,2020-05-19,2020-05-19 07:26,,Investment Returns - Stocks,0.00,5415.23,292351.24
252,2020-05-20,2020-05-20 03:44,,Groceries - Supermarket,177.92,0.00,292173.32
253,2020-05-21,2020-05-21 21:02,,Groceries - Supermarket,110.16,0.00,292063.16
254,2020-05-21,2020-05-21 07:07,,Dividends,0.00,884.27,292947.43
255,2020-05-21,2020-05-21 04:43,,Investment Returns - Crypto,0.00,1116.17,294063.60
256,2020-05-23,2020-05-23 15:37,,Salary - Regular,0.00,3620.15,297683.75
257,2020-05-24,2020-05-24 03:23,,Investment - Crypto,1072.64,0.00,296611.11
258,2020-05-25,2020-05-25 23:15,,Dividends,0.00,849.61,297460.72
259,2020-05-25,2020-05-25 02:05,,Salary - Bonus,0.00,9868.42,307329.14
260,2020-05-25,2020-05-25 12:10,,Groceries - Supermarket,233.45,0.00,307095.69
261,2020-05-26,2020-05-26 13:55,,Freelance Income,0.00,3902.58,310998.27
262,2020-05-27,2020-05-27 02:37,,Dining - Casual Restaurant,175.18,0.00,310823.09
263,2020-05-28,2020-05-28 01:44,,Groceries - Supermarket,182.65,0.00,310640.44
264,2020-05-28,2020-05-28 06:13,,Coffee Shop,20.49,0.00,310619.95
265,2020-05-29,2020-05-29 10:51,,Utilities - Electricity,302.36,0.00,310317.59
266,2020-05-29,2020-05-29 17:05,,Dining - Casual Restaurant,219.68,0.00,310097.91
267,2020-05-29,2020-05-29 05:10,,Rental Income,0.00,4004.40,314102.31
268,2020-05-30,2020-05-30 01:26,,Rental Income,0.00,3469.01,317571.32
269,2020-05-31,2020-05-31 15:30,,Freelance Income,0.00,3289.46,320860.78
270,2020-06-01,2020-06-01 14:51,,Salary - Regular,0.00,5855.33,326716.11
271,2020-06-01,2020-06-01 22:20,,Investment - Stocks,6471.38,0.00,320244.73
272,2020-06-01,2020-06-01 14:49,,Dining - Fine Dining,482.43,0.00,319762.30
273,2020-06-02,2020-06-02 21:24,,Entertainment - Concerts,195.69,0.00,319566.61
274,2020-06-03,2020-06-03 02:59,,Freelance Income,0.00,4271.61,323838.22
275,2020-06-03,2020-06-03 08:41,,Coffee Shop,6.11,0.00,323832.11
276,2020-06-03,2020-06-03 18:52,,Salary - Regular,0.00,4827.52,328659.63
277,2020-06-04,2020-06-04 22:40,,Investment Returns - Stocks,0.00,2657.54,331317.17
278,2020-06-04,2020-06-04 21:09,,Loan EMI,2230.46,0.00,329086.71
279,2020-06-04,2020-06-04 08:50,,Salary - Regular,0.00,3995.49,333082.20
280,2020-06-05,2020-06-05 05:09,,Fuel,58.06,0.00,333024.14
281,2020-06-06,2020-06-06 03:59,,Entertainment - Concerts,152.15,0.00,332871.99
282,2020-06-07,2020-06-07 11:06,,Loan EMI,3725.85,0.00,329146.14
283,2020-06-08,2020-06-08 09:25,,Freelance Income,0.00,370.82,329516.96
284,2020-06-08,2020-06-08 01:49,,Fuel,30.00,0.00,329486.96
285,2020-06-09,2020-06-09 22:36,,Investment - Stocks,10074.68,0.00,319412.28
286,2020-06-09,2020-06-09 05:17,,Investment - Stocks,4853.64,0.00,314558.64
287,2020-06-09,2020-06-09 11:29,,Dining - Fine Dining,594.68,0.00,313963.96
288,2020-06-11,2020-06-11 12:28,,Investment Returns - Stocks,0.00,2385.14,316349.10
289,2020-06-11,2020-06-11 05:25,,Rental Income,0.00,1972.13,318321.23
290,2020-06-12,2020-06-12 18:17,,Freelance Income,0.00,673.06,318994.29
291,2020-06-12,2020-06-12 00:54,,Salary - Regular,0.00,5785.88,324780.17
292,2020-06-13,2020-06-13 14:51,,Public Transport,10.17,0.00,324770.00
293,2020-06-14,2020-06-14 18:49,,Salary - Regular,0.00,3321.70,328091.70
294,2020-06-14,2020-06-14 01:24,,Public Transport,11.39,0.00,328080.31
295,2020-06-14,2020-06-14 17:20,,Coffee Shop,15.54,0.00,328064.77
296,2020-06-15,2020-06-15 12:02,,Groceries - Supermarket,305.96,0.00,327758.81
297,2020-06-15,2020-06-15 05:05,,Groceries - Online Delivery,212.01,0.00,327546.80
298,2020-06-17,2020-06-17 01:26,,Public Transport,1.98,0.00,327544.82
299,2020-06-18,2020-06-18 04:31,,Dining - Fine Dining,736.45,0.00,326808.37
300,2020-06-20,2020-06-20 04:34,,Groceries - Supermarket,414.64,0.00,326393.73
301,2020-06-20,2020-06-20 01:51,,Loan EMI,1482.48,0.00,324911.25
302,2020-06-21,2020-06-21 18:43,,Dining - Fine Dining,540.64,0.00,324370.61
303,2020-06-21,2020-06-21 00:06,,Rental Income,0.00,1269.33,325639.94
304,2020-06-21,2020-06-21 02:32,,Investment - Stocks,16252.38,0.00,309387.56
305,2020-06-21,2020-06-21 18:37,,Investment Returns - Crypto,0.00,4670.28,314057.84
306,2020-06-22,2020-06-22 05:32,,Salary - Regular,0.00,5800.98,319858.82
307,2020-06-22,2020-06-22 21:24,,Fuel,63.65,0.00,319795.17
308,2020-06-22,2020-06-22 13:12,,Entertainment - Movies,36.35,0.00,319758.82
309,2020-06-23,2020-06-23 18:16,,Groceries - Supermarket,254.37,0.00,319504.45
310,2020-06-24,2020-06-24 15:51,,Rental Income,0.00,3403.81,322908.26
311,2020-06-25,2020-06-25 07:44,,Groceries - Supermarket,165.46,0.00,322742.80
312,2020-06-25,2020-06-25 02:11,,Dining - Casual Restaurant,67.52,0.00,322675.28
313,2020-06-26,2020-06-26 22:55,,Healthcare - Regular,120.86,0.00,322554.42
314,2020-06-26,2020-06-26 13:21,,Utilities - Water,96.12,0.00,322458.30
315,2020-06-27,2020-06-27 05:29,,Loan EMI,2789.04,0.00,319669.26
316,2020-06-27,2020-06-27 16:07,,Cashback,0.00,268.40,319937.66
317,2020-06-28,2020-06-28 18:57,,Dining - Casual Restaurant,81.34,0.00,319856.32
318,2020-06-29,2020-06-29 22:31,,Cashback,0.00,304.26,320160.58
319,2020-06-29,2020-06-29 05:44,,Loan EMI,1623.96,0.00,318536.62
