Sr. No.,Value date,Transaction Date,Cheque Number,Transacting Remarks,Withdrawal Amount,Deposit Amount,Balance
246,2020-02-05,2020-02-05,100008,Cheque Issued,917.32,0.00,109951.22
247,2020-02-06,2020-02-05,,Loan EMI,1004.81,0.00,108946.41
248,2020-02-05,2020-02-05,,Dining Out,59.34,0.00,108887.07
249,2020-02-05,2020-02-05,,Transfer Received,0.00,2494.70,111381.77
250,2020-02-05,2020-02-05,,Rental Income,0.00,2820.83,114202.60
251,2020-02-06,2020-02-05,,Credit Card Payment,997.09,0.00,113205.51
252,2020-02-07,2020-02-06,,ATM Withdrawal,378.00,0.00,112827.51
253,2020-02-07,2020-02-06,,Transfer Received,0.00,525.94,113353.45
254,2020-02-06,2020-02-06,,Investment - Stocks,2233.95,0.00,111119.50
255,2020-02-05,2020-02-06,,Online Transfer,1351.23,0.00,109768.27
256,2020-02-07,2020-02-06,,Interest Credited,0.00,54.48,109822.75
257,2020-02-07,2020-02-07,,Interest Credited,0.00,97.38,109920.13
258,2020-02-06,2020-02-07,,Dining Out,37.36,0.00,109882.77
259,2020-02-06,2020-02-07,,Groceries - Online Delivery,124.86,0.00,109757.91
260,2020-02-06,2020-02-07,,Dining Out,63.77,0.00,109694.14
261,2020-02-07,2020-02-07,,Rental Income,0.00,2409.10,112103.24
262,2020-02-08,2020-02-08,,Investment Returns,0.00,876.20,112979.44
263,2020-02-07,2020-02-08,,Utility Payment,268.80,0.00,112710.64
264,2020-02-07,2020-02-08,,Daily Essentials,30.88,0.00,112679.76
265,2020-02-09,2020-02-08,,Salary Credit,0.00,3567.40,116247.16
266,2020-02-07,2020-02-08,,Credit Card Payment,927.09,0.00,115320.07
267,2020-02-08,2020-02-08,,Transfer Received,0.00,2669.68,117989.75
268,2020-02-08,2020-02-08,,Transfer Received,0.00,1434.05,119423.80
269,2020-02-08,2020-02-08,,Groceries - Supermarket,31.50,0.00,119392.30
270,2020-02-08,2020-02-08,100009,Cheque Issued,1260.61,0.00,118131.69
271,2020-02-09,2020-02-08,,Groceries - Supermarket,186.38,0.00,117945.31
272,2020-02-08,2020-02-08,,ATM Withdrawal,326.08,0.00,117619.23
273,2020-02-09,2020-02-09,,Online Transfer,1909.21,0.00,115710.02
274,2020-02-09,2020-02-09,,Online Transfer,861.75,0.00,114848.27
275,2020-02-10,2020-02-09,,Transfer Received,0.00,725.50,115573.77
276,2020-02-09,2020-02-09,,ATM Withdrawal,239.44,0.00,115334.33
277,2020-02-08,2020-02-09,,Online Transfer,832.97,0.00,114501.36
278,2020-02-09,2020-02-09,,Interest Credited,0.00,91.56,114592.92
279,2020-02-09,2020-02-09,,Utility Payment,283.06,0.00,114309.86
280,2020-02-09,2020-02-09,,Dining Out,90.28,0.00,114219.58
281,2020-02-10,2020-02-10,,Transfer Received,0.00,2260.92,116480.50
282,2020-02-10,2020-02-10,,Transfer Received,0.00,1716.21,118196.71
283,2020-02-10,2020-02-10,,Loan EMI,665.08,0.00,117531.63
284,2020-02-10,2020-02-10,,Interest Credited,0.00,69.53,117601.16
285,2020-02-10,2020-02-10,,Takeout,26.65,0.00,117574.51
286,2020-02-10,2020-02-10,,Loan EMI,1911.42,0.00,115663.09
287,2020-02-11,2020-02-11,,Transfer Received,0.00,1395.73,117058.82
288,2020-02-11,2020-02-11,,Dining Out,87.73,0.00,116971.09
289,2020-02-11,2020-02-11,,Coffee Shop,6.45,0.00,116964.64
290,2020-02-12,2020-02-11,,Loan EMI,1828.36,0.00,115136.28
291,2020-02-11,2020-02-11,,ATM Withdrawal,132.72,0.00,115003.56
292,2020-02-11,2020-02-11,,Online Transfer,761.98,0.00,114241.58
293,2020-02-12,2020-02-12,,Loan EMI,1336.44,0.00,112905.14
294,2020-02-12,2020-02-12,,Utility Payment,129.42,0.00,112775.72
295,2020-02-13,2020-02-12,,Utility Payment,196.94,0.00,112578.78
296,2020-02-12,2020-02-12,,Credit Card Payment,766.28,0.00,111812.50
297,2020-02-12,2020-02-13,,Daily Essentials,10.04,0.00,111802.46
298,2020-02-13,2020-02-13,,Salary Credit,0.00,3269.97,115072.43
299,2020-02-13,2020-02-13,,Credit Card Payment,408.96,0.00,114663.47
300,2020-02-13,2020-02-13,,Salary Credit,0.00,2538.20,117201.67
301,2020-02-14,2020-02-13,,Daily Essentials,7.23,0.00,117194.44
302,2020-02-13,2020-02-13,,Salary Credit,0.00,2932.25,120126.69
303,2020-02-14,2020-02-13,,Rental Income,0.00,2968.75,123095.44
304,2020-02-13,2020-02-13,,Loan EMI,845.74,0.00,122249.70
305,2020-02-13,2020-02-13,,Online Transfer,249.41,0.00,122000.29
306,2020-02-13,2020-02-13,,Transfer Received,0.00,1257.86,123258.15
307,2020-02-14,2020-02-14,,Transfer Received,0.00,1313.55,124571.70
308,2020-02-14,2020-02-14,,Interest Credited,0.00,51.76,124623.46
309,2020-02-15,2020-02-14,,Credit Card Payment,696.03,0.00,123927.43
310,2020-02-14,2020-02-14,,Rental Income,0.00,1101.87,125029.30
311,2020-02-13,2020-02-14,,Transfer Received,0.00,2556.23,127585.53
312,2020-02-14,2020-02-14,,Transfer Received,0.00,2973.89,130559.42
313,2020-02-14,2020-02-14,,Groceries - Supermarket,123.36,0.00,130436.06
314,2020-02-14,2020-02-15,,Investment - Mutual Funds,1289.86,0.00,129146.20
315,2020-02-15,2020-02-15,,Transfer Received,0.00,2954.89,132101.09
316,2020-02-15,2020-02-15,,Salary Credit,0.00,3476.16,135577.25
317,2020-02-16,2020-02-16,,Loan EMI,1102.19,0.00,134475.06
318,2020-02-16,2020-02-16,,Transfer Received,0.00,628.67,135103.73
319,2020-02-16,2020-02-16,,Rental Income,0.00,1533.87,136637.60
320,2020-02-17,2020-02-16,,ATM Withdrawal,309.41,0.00,136328.19
321,2020-02-16,2020-02-16,,Credit Card Payment,658.24,0.00,135669.95
322,2020-02-16,2020-02-16,,Cash Deposit,0.00,286.14,135956.09
323,2020-02-17,2020-02-17,,Dividend Received,0.00,418.75,136374.84
324,2020-02-16,2020-02-17,,Cash Deposit,0.00,124.61,136499.45
325,2020-02-17,2020-02-17,,Transfer Received,0.00,2445.03,138944.48
326,2020-02-17,2020-02-17,,Transfer Received,0.00,2446.08,141390.56
327,2020-02-17,2020-02-17,,Loan EMI,1157.21,0.00,140233.35
328,2020-02-16,2020-02-17,,Transfer Received,0.00,1073.12,141306.47
329,2020-02-18,2020-02-17,,Groceries - Supermarket,71.37,0.00,141235.10
330,2020-02-17,2020-02-17,,Salary Credit,0.00,4616.42,145851.52
331,2020-02-16,2020-02-17,,Credit Card Payment,225.70,0.00,145625.82
332,2020-02-17,2020-02-17,,Takeout,40.81,0.00,145585.01
333,2020-02-17,2020-02-17,,ATM Withdrawal,115.83,0.00,145469.18
334,2020-02-16,2020-02-17,,Transfer Received,0.00,984.69,146453.87
335,2020-02-18,2020-02-18,,Investment Returns,0.00,707.54,147161.41
336,2020-02-17,2020-02-18,,Investment - Mutual Funds,1534.98,0.00,145626.43
337,2020-02-19,2020-02-18,,ATM Withdrawal,470.92,0.00,145155.51
338,2020-02-18,2020-02-18,,Groceries - Online Delivery,82.39,0.00,145073.12
339,2020-02-18,2020-02-18,,Groceries - Online Delivery,75.38,0.00,144997.74
340,2020-02-19,2020-02-19,,Cash Deposit,0.00,495.86,145493.60
341,2020-02-19,2020-02-19,,Salary Credit,0.00,2403.01,147896.61
342,2020-02-19,2020-02-19,,Transfer Received,0.00,870.92,148767.53
343,2020-02-20,2020-02-19,,Credit Card Payment,597.74,0.00,148169.79
344,2020-02-19,2020-02-19,,Groceries - Online Delivery,67.94,0.00,148101.85
345,2020-02-19,2020-02-19,,Salary Credit,0.00,3636.27,151738.12
346,2020-02-19,2020-02-19,,ATM Withdrawal,462.01,0.00,151276.11
347,2020-02-20,2020-02-20,,Interest Credited,0.00,81.31,151357.42
348,2020-02-20,2020-02-20,,Credit Card Payment,605.75,0.00,150751.67
349,2020-02-20,2020-02-20,,Interest Credited,0.00,10.99,150762.66
350,2020-02-19,2020-02-20,,Transfer Received,0.00,2975.86,153738.52
351,2020-02-19,2020-02-20,,ATM Withdrawal,441.21,0.00,153297.31
352,2020-02-19,2020-02-20,,Rental Income,0.00,2351.20,155648.51
353,2020-02-21,2020-02-20,,Transfer Received,0.00,1178.66,156827.17
354,2020-02-20,2020-02-20,,Takeout,19.36,0.00,156807.81
355,2020-02-20,2020-02-21,,Online Transfer,1022.25,0.00,155785.56
356,2020-02-20,2020-02-21,,Online Transfer,1396.76,0.00,154388.80
357,2020-02-21,2020-02-21,,Transfer Received,0.00,2159.90,156548.70
358,2020-02-21,2020-02-21,,Groceries - Supermarket,124.37,0.00,156424.33
359,2020-02-20,2020-02-21,,Transfer Received,0.00,2867.29,159291.62
360,2020-02-21,2020-02-21,,Groceries - Online Delivery,83.85,0.00,159207.77
361,2020-02-20,2020-02-21,,Online Transfer,1848.15,0.00,157359.62
362,2020-02-21,2020-02-21,,Salary Credit,0.00,2172.74,159532.36
